date,value
2019-10-11 00:00:00,15825.0
2019-10-12 00:00:00,10989.0
2019-10-13 00:00:00,14063.0
2019-10-14 00:00:00,39998.0
2019-10-15 00:00:00,37124.0
2019-10-16 00:00:00,17760.0
2019-10-17 00:00:00,14660.0
2019-10-18 00:00:00,15596.0
2019-10-19 00:00:00,17533.0
2019-10-20 00:00:00,19824.0
2019-10-21 00:00:00,27335.0
2019-10-22 00:00:00,21976.0
2019-10-23 00:00:00,37588.0
2019-10-24 00:00:00,15163.0
2019-10-25 00:00:00,11756.0
2019-10-26 00:00:00,22203.0
2019-10-27 00:00:00,4989.0
2019-10-28 00:00:00,6689.0
2019-10-29 00:00:00,23374.0
2019-10-30 00:00:00,8393.0
2019-10-31 00:00:00,19399.0
2019-11-01 00:00:00,20969.0
2019-11-02 00:00:00,4802.0
2019-11-03 00:00:00,11070.0
2019-11-04 00:00:00,857.0
2019-11-05 00:00:00,4004.0
2019-11-06 00:00:00,2517.0
2019-11-07 00:00:00,2043.0
2019-11-08 00:00:00,14828.0
2019-11-09 00:00:00,2655.0
2019-11-10 00:00:00,7343.0
2019-11-11 00:00:00,1933.0
2019-11-12 00:00:00,2462.0
2019-11-13 00:00:00,850.0
2019-11-14 00:00:00,3029.0
2019-11-15 00:00:00,1683.0
2019-11-16 00:00:00,5532.0
2019-11-17 00:00:00,8377.0
2019-11-18 00:00:00,5853.0
2019-11-19 00:00:00,17631.0
2019-11-20 00:00:00,1482.0
2019-11-21 00:00:00,514.0
2019-11-22 00:00:00,2699.0
2019-11-23 00:00:00,14278.0
2019-11-24 00:00:00,1734.0
2019-11-25 00:00:00,735.0
2019-11-26 00:00:00,1652.0
2019-11-27 00:00:00,1164.0
2019-11-28 00:00:00,3393.0
2019-11-29 00:00:00,6472.0
2019-11-30 00:00:00,24069.0
2019-12-01 00:00:00,1317.0
2019-12-02 00:00:00,1740.0
2019-12-03 00:00:00,16819.0
2019-12-04 00:00:00,777.0
2019-12-05 00:00:00,20737.0
2019-12-06 00:00:00,7313.0
2019-12-07 00:00:00,523.0
2019-12-08 00:00:00,1947.0
2019-12-09 00:00:00,15220.0
2019-12-10 00:00:00,1554.0
2019-12-11 00:00:00,19979.0
2019-12-12 00:00:00,6999.0
2019-12-13 00:00:00,631.0
2019-12-14 00:00:00,1459.0
2019-12-15 00:00:00,8220.0
2019-12-16 00:00:00,5414.0
2019-12-17 00:00:00,3650.0
2019-12-18 00:00:00,11359.0
2019-12-19 00:00:00,15248.0
2019-12-20 00:00:00,17441.0
2019-12-21 00:00:00,1325.0
2019-12-22 00:00:00,616.0
2019-12-23 00:00:00,253.0
2019-12-24 00:00:00,11986.0
2019-12-25 00:00:00,1994.0
2019-12-26 00:00:00,2272.0
2019-12-27 00:00:00,2634.0
2019-12-28 00:00:00,382.0
2019-12-29 00:00:00,2255.0
2019-12-30 00:00:00,853.0
2019-12-31 00:00:00,1354.0
2020-01-01 00:00:00,2213.0
2020-01-02 00:00:00,7407.0
2020-01-03 00:00:00,681.0
2020-01-04 00:00:00,1900.0
2020-01-05 00:00:00,20050.0
2020-01-06 00:00:00,1078.0
2020-01-07 00:00:00,1505.0
2020-01-08 00:00:00,1213.0
2020-01-09 00:00:00,6095.0
2020-01-10 00:00:00,480.0
2020-01-11 00:00:00,3924.0
2020-01-12 00:00:00,5987.0
2020-01-13 00:00:00,2615.0
2020-01-14 00:00:00,7681.0
2020-01-15 00:00:00,8420.0
2020-01-16 00:00:00,24779.0
2020-01-17 00:00:00,26234.0
2020-01-18 00:00:00,1401.0
2020-01-19 00:00:00,7248.0
2020-01-20 00:00:00,11460.0
2020-01-21 00:00:00,1929.0
2020-01-22 00:00:00,10470.0
2020-01-23 00:00:00,8538.0
2020-01-24 00:00:00,1909.0
2020-01-25 00:00:00,2163.0
2020-01-26 00:00:00,1109.0
2020-01-27 00:00:00,2378.0
2020-01-28 00:00:00,1968.0
2020-01-29 00:00:00,2156.0
2020-01-30 00:00:00,2503.0
2020-01-31 00:00:00,2523.0
2020-02-01 00:00:00,1472.0
2020-02-02 00:00:00,14285.0
2020-02-03 00:00:00,17405.0
2020-02-04 00:00:00,10758.0
2020-02-05 00:00:00,21838.0
2020-02-06 00:00:00,4125.0
2020-02-07 00:00:00,35449.0
2020-02-08 00:00:00,31712.0
2020-02-09 00:00:00,28914.0
2020-02-10 00:00:00,6995.0
2020-02-11 00:00:00,8228.0
2020-02-12 00:00:00,2863.0
2020-02-13 00:00:00,9114.0
2020-02-14 00:00:00,10064.0
2020-02-15 00:00:00,4736.0
2020-02-16 00:00:00,9062.0
2020-02-17 00:00:00,16466.0
2020-02-18 00:00:00,12304.0
2020-02-19 00:00:00,14843.0
2020-02-20 00:00:00,8490.0
2020-02-21 00:00:00,13798.0
2020-02-22 00:00:00,5112.0
2020-02-23 00:00:00,8664.0
2020-02-24 00:00:00,21559.0
2020-02-25 00:00:00,22586.0
2020-02-26 00:00:00,15020.0
2020-02-27 00:00:00,12004.0
2020-02-28 00:00:00,22586.0
2020-02-29 00:00:00,14392.0
2020-03-01 00:00:00,27838.0
2020-03-02 00:00:00,9160.0
2020-03-03 00:00:00,4237.0
2020-03-04 00:00:00,9615.0
2020-03-05 00:00:00,26374.0
2020-03-06 00:00:00,13895.0
2020-03-07 00:00:00,3245.0
2020-03-08 00:00:00,32336.0
2020-03-09 00:00:00,4228.0
2020-03-10 00:00:00,26802.0
2020-03-11 00:00:00,28464.0
2020-03-12 00:00:00,8922.0
2020-03-13 00:00:00,29895.0
2020-03-14 00:00:00,32400.0
2020-03-15 00:00:00,55689.0
2020-03-16 00:00:00,29060.0
2020-03-17 00:00:00,44680.0
2020-03-18 00:00:00,40013.0
2020-03-19 00:00:00,9140.0
2020-03-20 00:00:00,24007.0
2020-03-21 00:00:00,49353.0
2020-03-22 00:00:00,51796.0
2020-03-23 00:00:00,58947.0
2020-03-24 00:00:00,58196.0
2020-03-25 00:00:00,59704.0
2020-03-26 00:00:00,34592.0
2020-03-27 00:00:00,42410.0
2020-03-28 00:00:00,48574.0
2020-03-29 00:00:00,13808.0
2020-03-30 00:00:00,40770.0
2020-03-31 00:00:00,27928.0
2020-04-01 00:00:00,11534.0
2020-04-02 00:00:00,16063.0
2020-04-03 00:00:00,34138.0
2020-04-04 00:00:00,34091.0
2020-04-05 00:00:00,58414.0
2020-04-06 00:00:00,61080.0
2020-04-07 00:00:00,56992.0
2020-04-08 00:00:00,61045.0
2020-04-09 00:00:00,36327.0
2020-04-10 00:00:00,54514.0
2020-04-11 00:00:00,59306.0
2020-04-12 00:00:00,60457.0
2020-04-13 00:00:00,30241.0
2020-04-14 00:00:00,27031.0
2020-04-15 00:00:00,5515.0
2020-04-16 00:00:00,26180.0
2020-04-17 00:00:00,64281.0
2020-04-18 00:00:00,42102.0
2020-04-19 00:00:00,58183.0
2020-04-20 00:00:00,52550.0
2020-04-21 00:00:00,39281.0
2020-04-22 00:00:00,60694.0
2020-04-23 00:00:00,48705.0
2020-04-24 00:00:00,43653.0
2020-04-25 00:00:00,45797.0
2020-04-26 00:00:00,44869.0
2020-04-27 00:00:00,48419.0
2020-04-28 00:00:00,43850.0
2020-04-29 00:00:00,21275.0
2020-04-30 00:00:00,53074.0
2020-05-01 00:00:00,16318.0
2020-05-02 00:00:00,40629.0
2020-05-03 00:00:00,30299.0
2020-05-04 00:00:00,41046.0
2020-05-05 00:00:00,15265.0
2020-05-06 00:00:00,61267.0
2020-05-07 00:00:00,65397.0
2020-05-08 00:00:00,52894.0
2020-05-09 00:00:00,55179.0
2020-05-10 00:00:00,60075.0
2020-05-11 00:00:00,9118.0
2020-05-12 00:00:00,47844.0
2020-05-13 00:00:00,37305.0
2020-05-14 00:00:00,34615.0
2020-05-15 00:00:00,39662.0
2020-05-16 00:00:00,29449.0
2020-05-17 00:00:00,38234.0
2020-05-18 00:00:00,12406.0
2020-05-19 00:00:00,15316.0
2020-05-20 00:00:00,61539.0
2020-05-21 00:00:00,64522.0
2020-05-22 00:00:00,70544.0
2020-05-23 00:00:00,34701.0
2020-05-24 00:00:00,38394.0
2020-05-25 00:00:00,34631.0
2020-05-26 00:00:00,44080.0
2020-05-27 00:00:00,63657.0
2020-05-28 00:00:00,30968.0
2020-05-29 00:00:00,69464.0
2020-05-30 00:00:00,58455.0
2020-05-31 00:00:00,66331.0
2020-06-01 00:00:00,66454.0
2020-06-02 00:00:00,63437.0
2020-06-03 00:00:00,37451.0
2020-06-04 00:00:00,54059.0
2020-06-05 00:00:00,17052.0
2020-06-06 00:00:00,48169.0
2020-06-07 00:00:00,40038.0
2020-06-08 00:00:00,9879.0
2020-06-09 00:00:00,38363.0
2020-06-10 00:00:00,19242.0
2020-06-11 00:00:00,41274.0
2020-06-12 00:00:00,62450.0
2020-06-13 00:00:00,31780.0
2020-06-14 00:00:00,46418.0
2020-06-15 00:00:00,29697.0
2020-06-16 00:00:00,63103.0
2020-06-17 00:00:00,58873.0
2020-06-18 00:00:00,36376.0
2020-06-19 00:00:00,47209.0
2020-06-20 00:00:00,31303.0
2020-06-21 00:00:00,52615.0
2020-06-22 00:00:00,14843.0
2020-06-23 00:00:00,48163.0
2020-06-24 00:00:00,53196.0
2020-06-25 00:00:00,58913.0
2020-06-26 00:00:00,55091.0
2020-06-27 00:00:00,47608.0
2020-06-28 00:00:00,49149.0
2020-06-29 00:00:00,13110.0
2020-06-30 00:00:00,49522.0
2020-07-01 00:00:00,30651.0
2020-07-02 00:00:00,51976.0
2020-07-03 00:00:00,35114.0
2020-07-04 00:00:00,59181.0
2020-07-05 00:00:00,40467.0
2020-07-06 00:00:00,54431.0
2020-07-07 00:00:00,51666.0
2020-07-08 00:00:00,35473.0
2020-07-09 00:00:00,38419.0
2020-07-10 00:00:00,22699.0
2020-07-11 00:00:00,39540.0
2020-07-12 00:00:00,42169.0
2020-07-13 00:00:00,26353.0
2020-07-14 00:00:00,61474.0
2020-07-15 00:00:00,49267.0
2020-07-16 00:00:00,17024.0
2020-07-17 00:00:00,36615.0
2020-07-18 00:00:00,63120.0
2020-07-19 00:00:00,60990.0
2020-07-20 00:00:00,43130.0
2020-07-21 00:00:00,44302.0
2020-07-22 00:00:00,59183.0
2020-07-23 00:00:00,43920.0
2020-07-24 00:00:00,48330.0
2020-07-25 00:00:00,39639.0
2020-07-26 00:00:00,41573.0
2020-07-27 00:00:00,51395.0
2020-07-28 00:00:00,39112.0
2020-07-29 00:00:00,29366.0
2020-07-30 00:00:00,38308.0
2020-07-31 00:00:00,10941.0
2020-08-01 00:00:00,60943.0
2020-08-02 00:00:00,53236.0
2020-08-03 00:00:00,10420.0
2020-08-04 00:00:00,16211.0
2020-08-05 00:00:00,58192.0
2020-08-06 00:00:00,62467.0
2020-08-07 00:00:00,47134.0
2020-08-08 00:00:00,51402.0
2020-08-09 00:00:00,51569.0
2020-08-10 00:00:00,41192.0
2020-08-11 00:00:00,60644.0
2020-08-12 00:00:00,60200.0
2020-08-13 00:00:00,57383.0
2020-08-14 00:00:00,57060.0
2020-08-15 00:00:00,53911.0
2020-08-16 00:00:00,57722.0
2020-08-17 00:00:00,26037.0
2020-08-18 00:00:00,43189.0
2020-08-19 00:00:00,41466.0
2020-08-20 00:00:00,45988.0
2020-08-21 00:00:00,52857.0
2020-08-22 00:00:00,15616.0
2020-08-23 00:00:00,40977.0
2020-08-24 00:00:00,44714.0
2020-08-25 00:00:00,40452.0
2020-08-26 00:00:00,28909.0
2020-08-27 00:00:00,29683.0
2020-08-28 00:00:00,23222.0
2020-08-29 00:00:00,29211.0
2020-08-30 00:00:00,40548.0
2020-08-31 00:00:00,21080.0
2020-09-01 00:00:00,39000.0
2020-09-02 00:00:00,7501.0
2020-09-03 00:00:00,12388.0
2020-09-04 00:00:00,12169.0
2020-09-05 00:00:00,16767.0
2020-09-06 00:00:00,49100.0
2020-09-07 00:00:00,40103.0
2020-09-08 00:00:00,18381.0
2020-09-09 00:00:00,30268.0
2020-09-10 00:00:00,44696.0
2020-09-11 00:00:00,31380.0
2020-09-12 00:00:00,43355.0
2020-09-13 00:00:00,38705.0
2020-09-14 00:00:00,52316.0
2020-09-15 00:00:00,44249.0
2020-09-16 00:00:00,44678.0
2020-09-17 00:00:00,30382.0
2020-09-18 00:00:00,53263.0
2020-09-19 00:00:00,35955.0
2020-09-20 00:00:00,42778.0
2020-09-21 00:00:00,50740.0
2020-09-22 00:00:00,46134.0
2020-09-23 00:00:00,44699.0
2020-09-24 00:00:00,29154.0
2020-09-25 00:00:00,31127.0
2020-09-26 00:00:00,24751.0
2020-09-27 00:00:00,7656.0
2020-09-28 00:00:00,42355.0
2020-09-29 00:00:00,13437.0
2020-09-30 00:00:00,36884.0
2020-10-01 00:00:00,22018.0
2020-10-02 00:00:00,9421.0
2020-10-03 00:00:00,21662.0
2020-10-04 00:00:00,8307.0
2020-10-05 00:00:00,30721.0
2020-10-06 00:00:00,26920.0
2020-10-07 00:00:00,22942.0
2020-10-08 00:00:00,13332.0
2020-10-09 00:00:00,18335.0
